ID,STATUT,cityCode,INSEE_ARR,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,TYPE,cityName,latitude,longitude,radius
COMMUNE__FRC000009754523,Sous-préfecture,19031,1,19,75,200043172,BRIVE LA GAILLARDE,46916,COM,Brive-la-Gaillarde,1.519098,45.143377,
COMMUNE__FRC000009754087,Préfecture,19272,2,19,75,241927201,TULLE,14836,COM,Tulle,1.762723,45.273006,
COMMUNE__FRC000009753135,Sous-préfecture,19275,3,19,75,200066744,USSEL,9736,COM,Ussel,2.304825,45.549977,
COMMUNE__FRC000009754521,Commune simple,19123,1,19,75,200043172,MALEMORT,7985,COM,Malemort,1.589319,45.179101,
COMMUNE__FRC000009754525,Commune simple,19229,1,19,75,200043172,SAINT PANTALEON DE LARCHE,4777,COM,Saint-Pantaléon-de-Larche,1.432177,45.146719,
COMMUNE__FRC000009753617,Commune simple,19073,3,19,75,241900133,EGLETONS,4298,COM,Égletons,2.036518,45.421694,
COMMUNE__FRC000009754522,Commune simple,19274,1,19,75,200043172,USSAC,4178,COM,Ussac,1.511436,45.190139,
COMMUNE__FRC000009754303,Commune simple,19005,1,19,75,200043172,ALLASSAC,3903,COM,Allassac,1.469771,45.255999,
COMMUNE__FRC000009754307,Commune simple,19153,1,19,75,200043172,OBJAT,3640,COM,Objat,1.413281,45.263675,
COMMUNE__FRC000009754712,Commune simple,19010,2,19,75,200066751,ARGENTAT SUR DORDOGNE,3016,COM,Argentat-sur-Dordogne,1.939411,45.113549,
COMMUNE__FRC000009754721,Commune simple,19063,1,19,75,200043172,COSNAC,2981,COM,Cosnac,1.585466,45.130331,
COMMUNE__FRC000009753625,Commune simple,19276,2,19,75,241927243,UZERCHE,2806,COM,Uzerche,1.565196,45.424209,
COMMUNE__FRC000009753608,Commune simple,19028,3,19,75,200066744,BORT LES ORGUES,2677,COM,Bort-les-Orgues,2.491466,45.393307,
COMMUNE__FRC000009754301,Commune simple,19072,1,19,75,200043172,DONZENAC,2651,COM,Donzenac,1.52679,45.231189,
COMMUNE__FRC000009754524,Commune simple,19278,1,19,75,200043172,VARETZ,2425,COM,Varetz,1.433844,45.188729,
COMMUNE__FRC000009752891,Commune simple,19136,3,19,75,200066744,MEYMAC,2366,COM,Meymac,2.140304,45.554381,
COMMUNE__FRC000009754088,Commune simple,19146,2,19,75,241927201,NAVES,2320,COM,Naves,1.750563,45.314929,
COMMUNE__FRC000009753398,Commune simple,19121,1,19,75,200066603,LUBERSAC,2230,COM,Lubersac,1.400147,45.45429,
COMMUNE__FRC000009754300,Commune simple,19202,1,19,75,200043172,SAINTE FEREOLE,1941,COM,Sainte-Féréole,1.588879,45.227005,
COMMUNE__FRC000009754302,Commune simple,19246,1,19,75,200043172,SAINT VIANCE,1853,COM,Saint-Viance,1.463756,45.210811,
COMMUNE__FRC000009754296,Commune simple,19203,2,19,75,241927201,SAINTE FORTUNADE,1784,COM,Sainte-Fortunade,1.763459,45.206869,
COMMUNE__FRC000009753847,Commune simple,19255,2,19,75,241927201,SEILHAC,1737,COM,Seilhac,1.72342,45.366712,
COMMUNE__FRC000009754527,Commune simple,19066,1,19,75,200043172,CUBLAC,1695,COM,Cublac,1.306266,45.156287,
COMMUNE__FRC000009753837,Commune simple,19148,3,19,75,200066744,NEUVIC,1648,COM,Neuvic,2.258607,45.371399,
COMMUNE__FRC000009754730,Commune simple,19107,1,19,75,200043172,LARCHE,1583,COM,Larche,1.41977,45.113468,
COMMUNE__FRC002200276499,Commune simple,19101,2,19,75,241927201,LAGUENNE SUR AVALOUZE,1548,COM,Laguenne-sur-Avalouze,1.801866,45.245367,
COMMUNE__FRC000009754298,Commune simple,19038,2,19,75,241927201,CHAMEYRAT,1535,COM,Chameyrat,1.706447,45.248099,
COMMUNE__FRC000009754526,Commune simple,19124,1,19,75,200043172,MANSAC,1427,COM,Mansac,1.381787,45.160105,
COMMUNE__FRC000009752897,Commune simple,19036,2,19,75,200066645,CHAMBERET,1372,COM,Chamberet,1.719837,45.602416,
COMMUNE__FRC000009753142,Commune simple,19269,2,19,75,200066645,TREIGNAC,1361,COM,Treignac,1.801016,45.552552,
