cityCode,population,year,cityName
19031,46916,2010,Brive-la-Gaillarde
19272,14836,2010,Tulle
19275,9736,2010,Ussel
19123,7985,2010,Malemort
19229,4777,2010,Saint-Pantaléon-de-Larche
19073,4298,2010,Égletons
19274,4178,2010,Ussac
19005,3903,2010,Allassac
19153,3640,2010,Objat
19010,3016,2010,Argentat-sur-Dordogne
19063,2981,2010,Cosnac
19276,2806,2010,Uzerche
19028,2677,2010,Bort-les-Orgues
19072,2651,2010,Donzenac
19278,2425,2010,Varetz
19136,2366,2010,Meymac
19146,2320,2010,Naves
19121,2230,2010,Lubersac
19202,1941,2010,Sainte-Féréole
19246,1853,2010,Saint-Viance
19203,1784,2010,Sainte-Fortunade
19255,1737,2010,Seilhac
19066,1695,2010,Cublac
19148,1648,2010,Neuvic
19107,1583,2010,Larche
19101,1548,2010,Laguenne-sur-Avalouze
19038,1535,2010,Chameyrat
19124,1427,2010,Mansac
19036,1372,2010,Chamberet
19269,1361,2010,Treignac
19061,1340,2010,Cornil
19194,1323,2010,Saint-Clément
19227,1307,2010,Saint-Mexant
19019,1299,2010,Beaulieu-sur-Dordogne
19138,1275,2010,Meyssac
19288,1259,2010,Voutezac
19023,1258,2010,Beynat
19037,1209,2010,Chamboulive
19285,1195,2010,Vigeois
19162,1166,2010,Perpezac-le-Noir
19011,1133,2010,Arnac-Pompadour
19062,1128,2010,Corrèze
19094,1126,2010,Juillac
19207,1114,2010,Saint-Germain-les-Vergnes
19100,1100,2010,Lagraulière
19237,1075,2010,Saint-Privat
19082,1072,2010,Favars
19176,1070,2010,Rosiers-d'Égletons
19030,980,2010,Brignac-la-Plaine
19211,978,2010,Saint-Hilaire-Peyroux
19098,978,2010,Lagarde-Marc-la-Tour
19093,972,2010,Jugeals-Nazareth
19178,937,2010,Sadroc
19013,914,2010,Aubazines
19151,910,2010,Noailles
19007,861,2010,Altillac
19243,858,2010,Saint-Sornin-Lavolps
19252,851,2010,Sarroux - Saint Julien
19164,850,2010,Peyrelevade
19273,838,2010,Turenne
19118,805,2010,Le Lonzac
19033,803,2010,Bugeat
19085,794,2010,Gimel-les-Cascades
19125,794,2010,Marcillac-la-Croisille
19182,779,2010,Saint-Aulaire
19049,762,2010,Chasteaux
19261,759,2010,Sornac
19004,731,2010,Albussac
19117,730,2010,Lissac-sur-Couze
19068,727,2010,Dampniat
19134,718,2010,Merlines
19015,714,2010,Ayen
19180,709,2010,Saint-Angel
19248,685,2010,Saint-Ybard
19080,685,2010,Eygurande
19289,682,2010,Yssandon
19129,676,2010,Masseret
19060,672,2010,Condat-sur-Ganaveix
19250,658,2010,Salon-la-Tour
19191,648,2010,Saint-Cernin-de-Larche
19140,636,2010,Monceaux-sur-Dordogne
19147,635,2010,Nespouls
19213,629,2010,Saint-Jal
19024,615,2010,Beyssac
19258,613,2010,Servières-le-Château
19042,610,2010,Chanteix
19113,606,2010,Liginiac
19201,596,2010,Saint-Exupéry-les-Roches
19143,581,2010,Montaignac-Saint-Hippolyte
19035,572,2010,Chabrignac
19270,557,2010,Troche
19286,550,2010,Vignols
19131,517,2010,Meilhards
19105,507,2010,Lanteuil
19196,505,2010,Saint-Cyr-la-Roche
19264,505,2010,Soursac
19081,500,2010,Eyrein
19079,497,2010,Eyburie
19236,495,2010,Saint-Priest-de-Gimel
19220,487,2010,Saint-Martial-de-Gimel
19057,486,2010,Collonges-la-Rouge
19192,486,2010,Saint-Chamant
19041,485,2010,Chanac-les-Mines
19234,480,2010,Saint-Pardoux-l'Ortigier
19161,468,2010,Perpezac-le-Blanc
19214,466,2010,Saint-Julien-aux-Bois
19242,460,2010,Saint-Solve
19145,451,2010,Moustier-Ventadour
19152,447,2010,Nonards
19076,441,2010,Espartignac
19130,439,2010,Maussac
19078,434,2010,Estivaux
19043,427,2010,La Chapelle-aux-Brocs
19181,423,2010,Saint-Augustin
19050,419,2010,Chauffour-sur-Vell
19230,418,2010,Saint-Pardoux-Corbier
19059,413,2010,Concèze
19056,412,2010,Clergoux
19096,406,2010,Ladignac-sur-Rondelles
19188,400,2010,Saint-Bonnet-l'Enfantier
19002,392,2010,Aix
19187,387,2010,Saint-Bonnet-la-Rivière
19195,384,2010,Saint-Cyprien
19106,381,2010,Lapleau
19150,378,2010,Noailhac
19075,377,2010,Espagnac
19279,374,2010,Vars-sur-Roseix
19047,369,2010,Chartrier-Ferrière
19025,368,2010,Beyssenac
19048,365,2010,Le Chastang
19070,361,2010,Darnets
19001,359,2010,Affieux
19135,355,2010,Mestes
19256,349,2010,Sérandon
19058,346,2010,Combressol
19249,344,2010,Saint-Yrieix-le-Déjalat
19222,340,2010,Saint-Martin-la-Méanne
19265,339,2010,Tarnac
19086,332,2010,Goulles
19154,313,2010,Orgnac-sur-Vézère
19091,313,2010,Hautefage
19016,308,2010,Bar
19128,305,2010,Margerides
19239,301,2010,Saint-Robert
19263,301,2010,Soudeilles
19240,300,2010,Saint-Salvadour
19173,300,2010,Rilhac-Xaintrie
19115,299,2010,Ligneyrac
19102,299,2010,Lamazière-Basse
19141,299,2010,Monestier-Merlines
19233,297,2010,Saint-Pardoux-le-Vieux
19055,294,2010,Chirac-Bellevue
19204,291,2010,Saint-Fréjoux
19163,288,2010,Le Pescher
19169,288,2010,Puy-d'Arnac
19084,286,2010,Forgès
19241,285,2010,Saint-Setiers
19155,283,2010,Orliac-de-Bar
19029,279,2010,Branceilles
19251,275,2010,Sarran
19223,274,2010,Saint-Martin-Sepert
19257,268,2010,Sérilhac
19287,267,2010,Vitrac-sur-Montane
19044,266,2010,La Chapelle-aux-Saints
19003,254,2010,Albignac
19216,249,2010,Saint-Julien-le-Vendômois
19116,248,2010,Liourdres
19026,246,2010,Bilhac
19271,245,2010,Tudeils
19133,245,2010,Mercœur
19144,239,2010,Montgibaud
19034,237,2010,Camps-Saint-Mathurin-Léobazel
19120,236,2010,Louignac
19259,234,2010,Sexcles
19039,233,2010,Champagnac-la-Noaille
19053,233,2010,Chaveroche
19012,232,2010,Astaillac
19014,229,2010,Auriac
19199,229,2010,Saint-Étienne-aux-Clos
19022,228,2010,Benayes
19238,227,2010,Saint-Rémy
19157,225,2010,Palisse
19253,222,2010,Segonzac
19235,221,2010,Saint-Paul
19099,220,2010,Lagleygeolle
19260,220,2010,Sioniac
19109,218,2010,Lascaux
19067,209,2010,Curemonte
19054,208,2010,Chenailler-Mascheix
19071,208,2010,Davignac
19186,207,2010,Saint-Bonnet-Elvert
19179,205,2010,Saillac
19008,205,2010,Ambrugeat
19170,203,2010,Queyssac-les-Vignes
19045,198,2010,La Chapelle-Saint-Géraud
19122,193,2010,Madranges
19190,192,2010,Saint-Bonnet-près-Bort
19149,189,2010,Neuville
19171,189,2010,Reygade
19208,188,2010,Saint-Hilaire-Foissac
19247,186,2010,Saint-Victour
19160,185,2010,Pérols-sur-Vézère
19177,181,2010,Rosiers-de-Juillac
19280,181,2010,Végennes
19089,181,2010,Gros-Chastang
19018,179,2010,Bassignac-le-Haut
19126,178,2010,Marcillac-la-Croze
19231,177,2010,Saint-Pardoux-la-Croisille
19262,176,2010,Soudaine-Lavinadière
19193,176,2010,Saint-Cirgues-la-Loutre
19254,174,2010,Ségur-le-Château
19225,174,2010,Saint-Merd-de-Lapleau
19158,166,2010,Pandrignes
19114,164,2010,Lignareix
19040,163,2010,Champagnac-la-Prune
19209,158,2010,Saint-Hilaire-les-Courbes
19051,158,2010,Chaumeil
19217,157,2010,Saint-Julien-Maumont
19156,153,2010,Palazinges
19277,144,2010,Valiergues
19174,142,2010,La Roche-Canillac
19119,139,2010,Lostanges
19069,138,2010,Darazac
19095,137,2010,Lacelle
19245,135,2010,Saint-Sylvain
19110,134,2010,Latronche
19083,132,2010,Feyt
19184,130,2010,Saint-Bazile-de-Meyssac
19226,129,2010,Saint-Merd-les-Oussines
19215,129,2010,Saint-Julien-le-Pèlerin
19077,127,2010,Estivals
19165,127,2010,Peyrissac
19097,124,2010,Lafage-sur-Sombre
19132,118,2010,Ménoire
19104,117,2010,Lamongerie
19046,115,2010,Chapelle-Spinasse
19020,114,2010,Beaumont
19027,113,2010,Bonnefond
19009,112,2010,Les Angles-sur-Corrèze
19172,110,2010,Rilhac-Treignac
19087,108,2010,Gourdon-Murat
19112,106,2010,Lestards
19212,103,2010,Saint-Hilaire-Taurieux
19142,103,2010,Monestier-Port-Dieu
19198,102,2010,Saint-Éloy-les-Tuileries
19111,99,2010,Laval-sur-Luzège
19006,98,2010,Alleyrat
19266,97,2010,Thalamy
19175,96,2010,Roche-le-Peyroux
19090,95,2010,Gumond
19284,93,2010,Viam
19200,93,2010,Saint-Étienne-la-Geneste
19166,91,2010,Pierrefitte
19017,91,2010,Bassignac-le-Bas
19168,91,2010,Pradines
19159,91,2010,Péret-Bel-Air
19205,90,2010,Saint-Geniez-ô-Merle
19021,89,2010,Bellechassagne
19206,87,2010,Saint-Germain-Lavolps
19221,84,2010,Saint-Martial-Entraygues
19244,84,2010,Saint-Sulpice-les-Bois
19092,81,2010,Le Jardin
19139,81,2010,Millevaches
19232,76,2010,Saint-Pardoux-le-Neuf
19064,76,2010,Couffy-sur-Sarsonne
19283,73,2010,Veyrières
19210,70,2010,Saint-Hilaire-Luc
19281,67,2010,Veix
19228,67,2010,Saint-Pantaléon-de-Lapleau
19103,67,2010,Lamazière-Haute
19065,66,2010,Courteix
19108,63,2010,Laroche-près-Feyt
19137,62,2010,Meyrignac-l'Église
19219,59,2010,Sainte-Marie-Lapanouze
19074,55,2010,L'Église-aux-Bois
19088,52,2010,Grandsaigne
19052,51,2010,Chavanac
19189,48,2010,Saint-Bonnet-les-Tours-de-Merle
19167,40,2010,Confolent-Port-Dieu
19268,37,2010,Toy-Viam
