cityCode,index,countryCode,countryName,cityName,latitude,longitude,radius,yearMotorway,yearHST
20107,42,40,Austria,Wien (Vienna),48.206443,16.370725,NA,NA,NA
20348,60,112,Belarus,Minsk,53.9,27.56667,NA,NA,NA
20142,63,56,Belgium,Antwerpen,51.21989,4.40346,NA,NA,NA
20144,64,56,Belgium,Bruxelles-Brussel,50.846735,4.349919,NA,NA,1997
20327,132,100,Bulgaria,Sofia,42.69751,23.32415,NA,NA,NA
20887,599,203,Czech Republic,Praha (Prague),50.08804,14.42076,NA,NA,NA
20894,620,208,Denmark,Kobenhavn (Copenhagen),55.67594,12.56553,NA,NA,NA
20937,646,246,Finland,Helsinki,60.169246,24.940216,NA,NA,NA
20997,665,250,France,Toulouse,43.60426,1.44367,NA,1979,NA
20981,657,250,France,Nantes,47.21725,-1.55336,NA,1989,1990
20969,653,250,France,Lille,50.63297,3.05858,NA,1968,1993
20985,659,250,France,Paris,48.85341,2.3488,NA,1968,1983
20973,655,250,France,Marseille-Aix-en-Provence,43.528414,5.443298,NA,1970,2001
20952,650,250,France,Bordeaux,44.84044,-0.5805,NA,1981,2017
20972,654,250,France,Lyon,45.74846,4.84671,NA,1970,1983
21011,670,268,Georgia,Tbilisi,41.69411,44.83368,NA,NA,NA
204371,689,276,Germany,M�nchen (Munich),48.137076,11.573377,NA,NA,NA
204376,690,276,Germany,Nurenberg,49.450418,11.075791,NA,NA,NA
204397,691,276,Germany,Stuttgart,48.78232,9.17702,NA,NA,NA
204296,671,276,Germany,Berlin,52.52437,13.41053,NA,NA,NA
204437,677,276,Germany,Dresden,51.05089,13.73832,NA,NA,NA
204341,682,276,Germany,Hamburg,53.55,10,NA,NA,NA
204343,683,276,Germany,Hannover,52.37052,9.73322,NA,NA,NA
204303,675,276,Germany,Bremen,53.07516,8.80777,NA,NA,NA
204312,678,276,Germany,Duesseldorf,51.22172,6.77616,NA,NA,NA
204332,681,276,Germany,Frankfurt am Main,50.11667,8.68333,NA,NA,NA
204358,685,276,Germany,K�ln (Cologne),50.93333,6.95,NA,NA,NA
204316,680,276,Germany,Essen (Ruhr),51.45374,7.010388,NA,NA,NA
204367,687,276,Germany,Mannheim,49.48833,8.46472,NA,NA,NA
21113,697,300,Greece,Athi�nai (Athens),37.95342,23.74897,NA,NA,NA
21117,698,300,Greece,Thessaloniki,40.64028,22.94389,NA,NA,NA
21138,707,348,Hungary,Budapest,47.49801,19.03991,NA,NA,NA
21542,945,372,Ireland,Dublin,53.33306,-6.24889,NA,NA,NA
21571,963,380,Italy,Milano (Milan),45.55307,9.18344,NA,NA,NA
21597,976,380,Italy,Torino (Turin),45.068672,7.677218,NA,NA,NA
21577,968,380,Italy,Palermo,38.11582,13.35976,NA,NA,NA
21588,972,380,Italy,Roma (Rome),41.894743,12.481142,NA,NA,NA
21574,965,380,Italy,Napoli (Naples),40.850178,14.259213,NA,NA,NA
21557,956,380,Italy,Cagliari,39.20738,9.13462,NA,NA,NA
21930,1120,528,Netherlands,Amsterdam,52.37403,4.88969,NA,NA,NA
21945,1122,528,Netherlands,Rotterdam,51.9225,4.47917,NA,NA,NA
205146,1123,528,Netherlands,s-Gravenhage (The Hague),52.0767,4.2986,NA,NA,NA
22028,1173,578,Norway,Oslo,59.91273,10.74609,NA,NA,NA
22142,1233,616,Poland,Katowice,50.25842,19.02754,NA,NA,NA
22136,1232,616,Poland,Gdansk,54.35205,18.64637,NA,NA,NA
22132,1234,616,Poland,Krakow (Cracow),50.066777,19.942468,NA,NA,NA
22161,1239,616,Poland,Warszawa (Warsaw),52.22977,21.01178,NA,NA,NA
22167,1241,620,Portugal,Lisboa (Lisbon),38.71686,-9.139867,NA,NA,NA
22168,1242,620,Portugal,Porto,41.14961,-8.61099,NA,NA,NA
22191,1273,642,Romania,Bucuresti (Bucharest),44.432787,26.104302,NA,NA,NA
23241,1355,688,Serbia,Beograd (Belgrade),44.817649,20.463309,NA,NA,NA
23241,1355,688,Serbia,Beograd (Belgrade),44.817649,20.463309,NA,NA,NA
22525,1378,724,Spain,Barcelona,41.38879,2.15899,NA,NA,NA
22526,1379,724,Spain,Bilbao,43.26271,-2.92528,NA,NA,NA
22549,1382,724,Spain,Madrid,40.4165,-3.70256,NA,NA,NA
22556,1385,724,Spain,Palma,39.56939,2.65024,NA,NA,NA
22562,1386,724,Spain,Sevilla,37.38241,-5.97613,NA,NA,NA
22567,1387,724,Spain,Valencia,39.46975,-0.37739,NA,NA,NA
22590,1399,752,Sweden,G�teborg,57.703161,11.966273,NA,NA,NA
22597,1400,752,Sweden,Stockholm,59.33258,18.0649,NA,NA,NA
22606,1405,756,Switzerland,Z�rich (Zurich),47.35785,8.50296,NA,NA,NA
22802,1417,807,TFYR Macedonia,Skopje,42,21.43333,NA,NA,NA
22647,1430,792,Turkey,Adana,37.00167,35.32889,NA,NA,NA
22656,1431,792,Turkey,Ankara,39.91987,32.85427,NA,NA,NA
22658,1432,792,Turkey,Antalya,36.90812,30.69556,NA,NA,NA
22670,1434,792,Turkey,Bursa,40.19167,29.06111,NA,NA,NA
22683,1440,792,Turkey,Gaziantep,37.05944,37.3825,NA,NA,NA
22691,1442,792,Turkey,Istanbul,41.0138,28.9497,NA,NA,NA
22692,1443,792,Turkey,Izmir,38.41273,27.13838,NA,NA,NA
22705,1447,792,Turkey,Konya,37.87135,32.48464,NA,NA,NA
22762,1461,804,Ukraine,Kharkiv,49.98081,36.25272,NA,NA,NA
22765,1463,804,Ukraine,Kyiv (Kiev),50.445368,30.518634,NA,NA,NA
22782,1469,804,Ukraine,Odesa,46.47747,30.73262,NA,NA,NA
22860,1492,826,United Kingdom,London,51.50853,-0.12574,NA,NA,NA
22835,1481,826,United Kingdom,Birmingham (West Midlands),52.4814,-1.8998,NA,NA,NA
22875,1499,826,United Kingdom,Sheffield,53.38297,-1.4659,NA,NA,NA
22859,1491,826,United Kingdom,Liverpool,53.41058,-2.97794,NA,NA,NA
22862,1493,826,United Kingdom,Manchester,53.48095,-2.23743,NA,NA,NA
204592,1506,826,United Kingdom,Leeds (West Yorkshire),53.798431,-1.764855,NA,NA,NA
204765,1488,826,United Kingdom,Glasgow,55.86515,-4.25763,NA,NA,NA
22887,1494,826,United Kingdom,Newcastle upon Tyne,54.97328,-1.61396,NA,NA,NA
22840,1484,826,United Kingdom,Bristol,51.4552,-2.5966,NA,NA,NA
