cityCode,index,countryCode,countryName,cityName,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20005,4,8,Albania,Tiranë (Tirana),41.3275,19.81889,NA,NA,NA,4,85,107,135,145,157,174,194,218,247,288,335,373,411,454,505,561,601,2,1
20107,42,40,Austria,Wien (Vienna),48.206443,16.370725,NA,NA,NA,42,1615,1621,1627,1624,1621,1583,1539,1535,1539,1544,1549,1641,1700,1753,1808,1878,1959,51,52
20142,63,56,Belgium,Antwerpen,51.21989,4.40346,NA,NA,NA,63,759,786,813,835,855,868,880,889,897,906,927,949,971,994,1016,1043,1068,NA,NA
20144,64,56,Belgium,Bruxelles-Brussel,50.846735,4.349919,NA,NA,1997,64,1415,1449,1485,1525,1568,1610,1654,1676,1695,1715,1792,1873,1958,2045,2115,2164,2203,29,30
20145,65,56,Belgium,Charleroi,50.41136,4.44448,NA,NA,NA,65,413,415,417,419,421,429,438,424,408,392,392,392,393,393,397,409,423,NA,NA
20146,66,56,Belgium,Gent,51.05,3.71667,NA,NA,NA,66,362,363,364,362,358,364,370,377,385,392,402,413,424,435,447,462,477,NA,NA
20148,67,56,Belgium,Liège,50.63373,5.56749,NA,NA,NA,67,602,612,622,623,619,625,632,632,631,629,637,645,652,660,671,690,709,NA,NA
20164,74,70,Bosnia and Herzegovina,Sarajevo,43.84864,18.35644,NA,NA,NA,74,124,146,169,200,238,273,313,357,408,397,376,356,336,318,314,324,339,2,2
20323,131,100,Bulgaria,Plovdiv,42.15,24.75,NA,NA,NA,131,137,156,183,219,255,296,319,340,341,341,341,341,340,338,334,330,324,NA,NA
20327,132,100,Bulgaria,Sofia,42.69751,23.32415,NA,NA,NA,132,522,616,708,806,888,977,1074,1181,1191,1168,1128,1169,1200,1226,1241,1242,1230,9,8
20330,133,100,Bulgaria,Varna,43.21667,27.91667,NA,NA,NA,133,90,112,141,177,210,249,275,300,306,310,314,314,328,342,352,358,359,2,2
20344,57,112,Belarus,Brest,52.09755,23.68775,NA,NA,NA,57,66,70,79,99,124,153,187,225,260,275,290,301,311,321,328,334,337,NA,NA
20345,58,112,Belarus,Gomel,52.4345,30.9754,NA,NA,NA,58,116,144,179,223,277,335,398,454,494,483,477,482,483,483,484,489,491,NA,NA
20346,59,112,Belarus,Grodno,53.6884,23.8258,NA,NA,NA,59,65,69,79,103,135,167,204,241,274,290,305,318,329,340,348,354,357,NA,NA
20348,60,112,Belarus,Minsk,53.9,27.56667,NA,NA,NA,60,284,414,551,719,932,1120,1320,1481,1618,1654,1700,1775,1847,1915,1953,1960,1942,NA,NA
20349,61,112,Belarus,Mogilev,53.9141,30.33764,NA,NA,NA,61,82,103,130,164,206,252,299,332,357,357,359,363,357,351,340,328,316,NA,NA
20355,62,112,Belarus,Vitebsk,55.19048,30.2033,NA,NA,NA,62,105,129,157,192,234,269,304,329,346,343,341,344,349,353,356,361,364,NA,NA
20865,593,191,Croatia,Zagreb,45.81444,15.97798,NA,NA,NA,593,313,379,430,491,562,607,648,676,703,700,693,690,688,687,697,715,732,1,1
20881,598,203,Czech Republic,Brno,49.19522,16.60796,NA,NA,NA,598,286,299,312,323,333,351,370,379,387,383,377,380,385,390,400,413,428,NA,NA
20887,599,203,Czech Republic,Praha (Prague),50.08804,14.42076,NA,NA,NA,599,935,967,1001,1038,1076,1126,1179,1197,1212,1194,1172,1211,1261,1314,1364,1403,1437,13,12
20894,620,208,Denmark,København (Copenhagen),55.67594,12.56553,NA,NA,NA,620,1216,1227,1284,1373,1380,1172,1096,1056,1035,1048,1077,1127,1192,1268,1333,1395,1455,35,33
20932,643,233,Estonia,Tallinn,59.43696,24.75353,NA,NA,NA,643,223,258,296,332,372,409,445,471,476,432,400,397,394,391,388,385,382,1,1
20937,646,246,Finland,Helsinki,60.169246,24.940216,NA,NA,NA,646,366,405,448,478,507,582,674,723,871,943,1019,1067,1122,1180,1226,1263,1293,17,17
20942,647,246,Finland,Tampere,61.49911,23.78712,NA,NA,NA,647,100,112,126,139,154,158,161,180,215,230,267,290,308,324,338,351,364,NA,NA
20948,648,250,France,Avignon,43.94834,4.80892,NA,1970,2001,648,111,124,142,165,185,205,308,363,380,395,410,426,442,460,483,507,531,NA,NA
20951,649,250,France,Béthune,50.53333,2.63333,NA,1968,NA,649,126,132,140,144,145,152,278,344,349,348,348,350,353,356,367,384,403,NA,NA
20952,650,250,France,Bordeaux,44.84044,-0.5805,NA,1981,2017,650,430,447,495,543,584,614,633,663,698,730,763,799,843,891,944,988,1030,4,4
20960,651,250,France,Douai-Lens,50.368243,3.079497,NA,1968,1993,651,534,549,543,549,549,539,532,527,523,520,517,513,508,504,513,535,560,NA,NA
20963,652,250,France,Grenoble,45.16667,5.71667,NA,1976,NA,652,156,175,237,300,351,392,435,450,451,469,485,491,497,503,520,544,569,NA,NA
20969,653,250,France,Lille,50.63297,3.05858,NA,1968,1993,653,751,767,814,863,906,937,956,969,979,991,1002,1010,1018,1027,1056,1097,1142,NA,NA
