eYearBegin,eYearEnd,cityCodeOri,nameOri,cityCodeDes,nameDes,transportMode,length,notes
1960,,160020, Lille,160100,Calais,6,0136.000,154
1960,,160070, Paris,160210,Le-Mans,6,0203.000,230
1960,,160220, Angers,160210,Le-Mans,6,0095.000,52
1960,,160220, Angers,160050,Nantes,6,0089.000,48
1960,,160230, Tours,160240,Poitiers,6,0104.000,57
1960,,160180, Rennes,160210,Le-Mans,6,0154.000,332
1960,,160220, Angers,160050,Nantes,6,0089.000,49
1960,,160220, Angers,160210,Le-Mans,6,0092.000,50
1960,,160300, Rouen,160310,Caen,6,0130.000,151
1960,,160300, Rouen,160070,Paris,6,0137.000,155
1960,,160340, Bourges,160350,Orl\82ans,6,0117.000,47
1960,,160360, Clermont-F,160030,Lyon,6,0198.000,228
1960,,160350,   Orl\82ans,160070,    Paris,6,0127.000,149
1960,,160350,   Orl\82ans,160230,    Tours,6,0112.000,141
1960,,160390, Pau,160420,Bayonne,6,0120.000,145
1960,,160410, Agen,160010,Bordeaux,6,0139.000,156
1960,,160410, Agen,160090,Toulouse,6,0110.000,140
1960,,160430, Narbonne,160090,Toulouse,6,0154.000,204
1960,,160430, Narbonne,160280,Montpellie,6,0091.000,50
1960,,160450,Metz,160460,,6,0056.000,31
1960,,160010, Bordeaux,160250,La-Rochell,6,0188.000,220
1960,,165102, Reims,160070,Paris,6,0140.000,156
1960,,165102, Reims,160450,Metz,6,0178.000,217
1960,,160020, Lille,320020,Brussel,6,0113.000,142
1960,,160020, Lille,160120,Dunkerque,6,0077.000,42
1960,,160430, Narbonne,160440,Perpignan,6,0052.589,28
1960,,160031, Dijon,160070,Paris,6,0297.343,242
1960,,160450, Metz,160032,Strasbourg,6,0144.608,118
1960,,160031, Dijon,160033,Mulhouse,6,0197.744,147
1960,,160031, Dijon,160039,M\E2con,6,0108.759,59
1960,,160039, M\E2con,160030,  Lyon,6,0091.595,49
1960,,160041, Avignon,160030,Lyon,6,0215.401,157
1960,,160041, Avignon,160040,Marseille,6,0091.015,49
1960,,160041, Avignon,160280,Montpellie,6,0102.147,55
1960,,160360, Clermont-F,160340,Bourges,6,0169.942,132
1960,,160031, Dijon,165400,Nancy,6,0194.651,146
1960,,165400, Nancy,160450,Metz,6,0051.480,28
1960,,160070, Paris,168000,Amiens,6,0134.692,113
1960,,168000, Amiens,160020,Lille,6,0112.676,101
1960,,160030, Lyon,111111,Gen\E8ve,6,0128.619,110
1960,,160039, M\E2con,111111,  Gen\E8ve,6,0106.309,57
1960,,160250, La-Rochell,160240,Poitiers,6,0136.690,114
1960,,160030, Lyon,160048,Grenoble,6,0108.106,58
1960,,160048, Grenoble,111111,Gen\E8ve,6,0131.992,111
1960,,160040, Marseille,160049,Nice,6,0184.913,140
1960,,160040, Marseille,160051,Toulon,6,0066.640,36
1960,,160051, Toulon,160049,Nice,6,0134.119,113
1900,,160030, Lyon,160040,Marseille,7,0311.000,706
1900,,160010, Bordeaux,160420,Bayonne,7,0175.000,350
1900,,160010, Bordeaux,160390,Pau,7,0194.000,406
1900,,160010, Bordeaux,160410,Agen,7,0142.000,321
1900,,160010, Bordeaux,160260,Angouleme,7,0118.000,221
1900,,160010, Bordeaux,160250,La-Rochell,7,0186.000,359
1900,,160020, Lille,160120,Dunkerque,7,0076.000,145
1900,,160030, Lyon,160280,Montpellie,7,0293.000,652
1900,,160030, Lyon,160360,Clermont-F,7,0178.000,353
1900,,160030, Lyon,160340,Bourges,7,0303.000,700
1900,,160040, Marseille,160280,Montpellie,7,0180.000,354
1900,,160050, Nantes,160250,La-Rochell,7,0138.000,238
1900,,160050, Nantes,160240,Poitiers,7,0179.000,353
1900,,160050, Nantes,160220,Angers,7,0106.000,211
1900,,160050, Nantes,160180,Rennes,7,0107.000,212
1900,,160070, Paris,160300,Rouen,7,0123.000,225
1900,,160070, Paris,160350,Orl\82ans,7,0117.000,220
1900,,160090, Toulouse,160410,Agen,7,0109.000,213
1900,,160090, Toulouse,160380,Brive,7,0215.000,504
1900,,160090, Toulouse,160390,Pau,7,0191.000,403
1900,,160090, Toulouse,160280,Montpellie,7,0240.000,525
