ori name,ori code,dest name,dest code,km,Modelled speed kph
Berlin,204296,Bonn,204299,478.9649061812689,360.0637459687144
Berlin,204296,Duesseldorf,204312,477.73833541008213,359.14166658279333
Dresden,204437,Duesseldorf,204312,485.9491777277803,365.31419948513707
Berlin,204296,Frankfurt am Main,204332,423.6329008346981,318.4676940243371
Bremen,204303,Frankfurt am Main,204332,329.08121351349354,247.3880923976307
Duesseldorf,204312,Frankfurt am Main,204332,182.09858376334418,136.89332424827597
Dresden,204437,Frankfurt am Main,204332,371.6218119409625,279.3681540427991
Duesseldorf,204312,Hamburg,204341,338.8916274271168,254.76310951822433
Frankfurt am Main,204332,Hamburg,204341,392.324046371644,294.93113993765735
Frankfurt am Main,204332,Hannover,204343,261.0473468304867,196.24336639686405
Berlin,204296,Karlsruhe,204352,527.0607497929287,396.21998496001925
Berlin,204296,München (Munich),204371,504.9282021714057,379.5817555165077
Bonn,204299,München (Munich),204371,433.741787428873,326.0670891526608
Bremen,204303,München (Munich),204371,582.6296166023445,437.99409843768206
Duesseldorf,204312,München (Munich),204371,486.40898435855644,365.6598609224517
Frankfurt am Main,204332,München (Munich),204371,304.3826095055154,228.82082000554854
Hamburg,204341,München (Munich),204371,611.9023625958988,460
Hannover,204343,München (Munich),204371,488.53616952016444,367.2589807071679
Frankfurt am Main,204332,Nurenberg,204376,187.0530160333319,140.61783813075564
Berlin,204296,Stuttgart,204397,511.87517864521794,384.8041723158006
Frankfurt am Main,204332,Stuttgart,204397,152.6038088010686,114.72051153829655
Bonn,204299,Leipzig,204439,374.89387126280104,281.82793746586873
Frankfurt am Main,204332,Leipzig,204439,292.99696309541,220.26161568018475
