year,transportModeCode,speedKPH
1920,1,100;airlines are introduced
1930,1,200
1940,1,300
1950,1,750
1960,1,750
1970,1,750
1980,1,750
1990,1,750
2000,1,750
2010,1,750
2020,1,750
2030,1,750
1920,3,70
1930,3,70
1940,3,70
1950,3,100
1960,3,100
1970,3,100
1980,3,200
1990,3,250
2000,3,250
2010,3,250
2020,3,250
2030,3,250
1980,31,200;HST are introduced
1990,31,250
2000,31,250
2010,31,250
2020,31,250
2030,31,250
1920,7,70
1930,7,70
1940,7,70
1950,7,70
1960,7,70
1970,7,70
1980,7,70
1990,7,70
2000,7,70
2010,7,70
2020,7,70
2030,7,70
1940;6;100;expressways are introduced
1950,6,100
1960,6,100
1970,6,100
1980,6,100
1990,6,100
2000,6,100
2010,6,100
2020,6,100
2030,6,100
1990,11,1500
2000,11,1500
2025,12,20000
2030,12,20000
