eYearBegin,eYearEnd,cityCodeOri,nameOri,cityCodeDes,nameDes,transportModeCode,length,notes
1977,2004,22860,London,23083,New York-Newark,11,5570,Concorde
1977,2004,20985,Paris,23083,New York-Newark,11,5837,Concorde
2026,,23083,New York-Newark,23052,Los Angeles-Long Beach-Santa Ana,12,3937,Rocket
2026,,22617,Bangkok,22635,Dubayy (Dubai),12,4885,Rocket
2026,,21671,Tokyo,22447,Singapore,12,5318,Rocket
2026,,22860,London,23083,New York-Newark,12,5570,Rocket
2026,,20985,Paris,23083,New York-Newark,12,5837,Rocket
2026,,206167,Sydney,22447,Singapore,12,6299,Rocket
2026,,23052,Los Angeles,22860,London,12,8757,Rocket
2026,,22860,London,21137,Hong Kong,12,9628,Rocket
1940,,21700,Amman,21549,Tel Aviv-Yafo (Tel Aviv-Jaffa),1,111,air
1940,,21549,Tel Aviv-Yafo (Tel Aviv-Jaffa),21700,Amman,1,111,air
1940,,23083,New York-Newark,23098,Philadelphia,1,130,air
1940,,23098,Philadelphia,23083,New York-Newark,1,130,air
1940,,23083,New York-Newark,23098,Philadelphia,1,130,air
1940,,20517,Guangzhou Guangdong,21137,Hong Kong,1,134,air
1940,,21137,Hong Kong,20517,Guangzhou Guangdong,1,134,air
1940,,20517,Guangzhou Guangdong,21137,Hong Kong,1,134,air
1940,,21137,Hong Kong,20517,Guangzhou Guangdong,1,134,air
1940,,20109,Al-Manamah (Manama),22179,Ad-Dawhah (Doha),1,141,air
1940,,22179,Ad-Dawhah (Doha),20109,Al-Manamah (Manama),1,141,air
1940,,22928,Baltimore,23098,Philadelphia,1,144,air
1940,,23098,Philadelphia,22928,Baltimore,1,144,air
1940,,23238,Al-Hudaydah,23239,Sana'a',1,148,air
1940,,23239,Sana'a',23238,Al-Hudaydah,1,148,air
1940,,204332,Frankfurt am Main,204397,Stuttgart,1,153,air
1940,,204397,Stuttgart,204332,Frankfurt am Main,1,153,air
1940,,204397,Stuttgart,22606,Zürich (Zurich),1,166,air
1940,,22606,Zürich (Zurich),204397,Stuttgart,1,166,air
1940,,20806,Armenia,20837,Bogotá,1,177,air
1940,,20837,Bogotá,20806,Armenia,1,177,air
1940,,21124,Ciudad de Guatemala (Guatemala City),20917,San Salvador,1,178,air
1940,,20917,San Salvador,21124,Ciudad de Guatemala (Guatemala City),1,178,air
1940,,20837,Bogotá,20833,Pereira,1,180,air
1940,,20833,Pereira,20837,Bogotá,1,180,air
1940,,20833,Pereira,20837,Bogotá,1,180,air
1940,,22804,Al-Iskandariyah (Alexandria),22812,Al-Qahirah (Cairo),1,181,air
1940,,204312,Duesseldorf,204332,Frankfurt am Main,1,182,air
1940,,204332,Frankfurt am Main,204312,Duesseldorf,1,182,air
1940,,204312,Duesseldorf,204332,Frankfurt am Main,1,182,air
1940,,204332,Frankfurt am Main,204312,Duesseldorf,1,182,air
1940,,204332,Frankfurt am Main,204376,Nurenberg,1,187,air
1940,,204376,Nurenberg,204332,Frankfurt am Main,1,187,air
1940,,21574,Napoli (Naples),21588,Roma (Rome),1,188,air
1940,,22416,Ad-Dammam,22179,Ad-Dawhah (Doha),1,192,air
1940,,22179,Ad-Dawhah (Doha),22416,Ad-Dammam,1,192,air
1940,,21682,Almaty,21770,Bishkek,1,193,air
1940,,21770,Bishkek,21682,Almaty,1,193,air
1940,,22954,Charlotte,22976,Durham,1,194,air
1940,,22976,Durham,22954,Charlotte,1,194,air
1940,,22954,Charlotte,22976,Durham,1,194,air
1940,,22976,Durham,22954,Charlotte,1,194,air
1940,,205160,Busto Arsizio,22606,Zürich (Zurich),1,196,air
1940,,22606,Zürich (Zurich),205160,Busto Arsizio,1,196,air
1940,,23174,Washington D.C.,23098,Philadelphia,1,199,air
1940,,23098,Philadelphia,23174,Washington D.C.,1,199,air
1940,,23174,Washington D.C.,23098,Philadelphia,1,199,air
1940,,23098,Philadelphia,23174,Washington D.C.,1,199,air
1940,,21227,Dehradun,21228,Delhi,1,200,air
1940,,21228,Delhi,21227,Dehradun,1,200,air
1940,,20115,Chittagong,20119,Dhaka,1,212,air
1940,,22103,Lapu-Lapu City,22093,Cagayan de Oro City,1,217,air
1940,,22093,Cagayan de Oro City,22103,Lapu-Lapu City,1,217,air
1940,,22974,Detroit,23002,Grand Rapids,1,219,air
