Index,cityCode,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030
1,20001,82,86,89,93,102,120,144,162,183,207,234,264,298,337,392,470,565
2,20002,171,221,285,369,472,674,978,1240,1549,1929,2401,2989,3722,4635,5722,6932,8280
3,20003,82,90,98,107,127,154,183,207,233,263,297,336,379,429,498,597,717
4,20005,85,107,135,145,157,174,194,218,247,288,335,373,411,454,505,561,601
5,20009,100,116,136,159,192,234,267,295,313,324,334,339,345,352,374,417,457
6,20011,13,21,33,52,71,94,124,165,198,225,249,267,286,307,338,380,417
7,20015,34,46,62,84,104,128,147,164,191,226,265,306,354,409,473,536,587
8,20006,516,623,872,1081,1281,1507,1621,1672,1797,1973,2141,2282,2432,2594,2835,3149,3405
9,20020,10,14,18,25,33,43,57,76,101,134,176,230,299,388,484,559,612
10,20019,88,122,169,234,281,328,376,425,454,469,473,457,441,427,440,486,532
11,20035,269,286,305,325,385,466,537,604,658,705,749,783,820,858,929,1035,1127
12,20050,15,24,37,48,61,95,153,232,326,444,578,751,976,1269,1642,2078,2537
13,20049,138,174,219,315,459,599,771,1018,1390,1899,2591,3533,4508,5506,6837,8567,10429
14,204044,7,10,14,21,31,41,54,71,93,123,162,213,281,371,484,614,751
15,20057,116,121,126,151,181,201,222,237,252,262,270,286,305,325,344,366,388
16,20058,5098,5799,6598,7317,8105,8745,9422,9959,10513,11390,12407,13330,14246,15180,15894,16479,16956
17,20059,429,510,605,701,810,905,1010,1102,1200,1275,1348,1406,1459,1511,1563,1639,1718
18,20063,64,79,97,115,136,156,179,212,250,280,308,334,358,384,407,433,459
19,20065,300,347,401,441,484,522,562,597,634,656,676,723,783,846,901,955,1006
20,20067,132,166,209,251,300,351,411,458,510,528,539,569,609,650,687,727,768
21,20068,246,284,328,394,473,537,608,680,759,802,838,889,949,1009,1064,1123,1181
22,20070,14,23,37,50,68,96,135,178,232,261,284,309,337,366,391,417,443
23,20072,46,58,73,84,97,117,142,171,205,236,270,290,304,317,332,352,374
24,20073,73,87,105,122,142,175,217,249,284,316,350,374,394,414,434,460,487
25,20075,554,610,671,740,816,883,953,1017,1084,1121,1152,1217,1298,1381,1454,1532,1607
26,20076,77,95,117,143,174,212,258,304,357,404,454,496,537,579,617,655,692
27,20078,108,127,149,181,220,253,289,318,348,379,412,441,469,497,524,555,588
28,20081,224,260,301,332,365,424,494,550,611,666,722,781,844,910,967,1024,1078
29,20084,34,39,44,59,81,101,124,148,177,216,263,292,311,330,349,371,394
30,20085,214,239,266,288,313,347,386,392,396,447,516,596,688,792,879,940,990
31,20086,83,93,104,120,139,165,196,225,258,288,319,345,371,397,422,449,475
32,20140,341,431,538,648,778,911,1042,1123,1175,1142,1111,1087,1066,1044,1024,1040,1057
33,206171,429,497,572,697,850,929,972,1024,1082,1112,1142,1181,1218,1256,1321,1410,1505
34,206170,442,518,603,699,905,1037,1135,1242,1381,1530,1666,1863,2034,2202,2389,2560,2721
35,206175,20,31,51,84,137,195,223,252,282,305,331,352,384,423,465,504,543
36,20093,28,37,49,64,84,110,144,188,247,314,377,447,515,588,663,722,775
37,206168,1332,1574,1851,2068,2499,2732,2839,2969,3154,3283,3461,3707,3951,4203,4501,4792,5071
38,206177,161,182,204,229,247,268,292,297,308,317,329,338,354,373,399,430,463
39,206172,311,358,409,483,688,825,922,1048,1195,1319,1432,1552,1698,1861,2036,2188,2329
40,20098,22,27,34,44,55,70,88,111,151,198,235,276,311,348,387,421,454
41,206167,1690,1906,2135,2390,2892,3118,3252,3432,3632,3819,4052,4225,4364,4505,4729,5012,5301
42,20107,1615,1621,1627,1624,1621,1583,1539,1535,1539,1544,1549,1641,1700,1753,1808,1878,1959
43,20053,897,940,1005,1132,1274,1429,1574,1660,1733,1766,1806,1867,2062,2374,2629,2818,2971
44,20054,108,113,124,155,192,214,238,260,279,291,300,306,315,324,334,357,382
45,20056,20,35,58,87,127,161,195,215,238,263,286,296,313,330,347,372,397
46,20109,40,51,65,80,88,99,113,120,126,133,142,198,292,411,478,519,550
47,20110,71,77,83,94,107,128,175,197,215,231,248,290,344,408,486,570,653
48,20112,34,39,45,51,58,70,96,128,170,196,220,297,409,564,741,887,1015
49,20115,289,323,360,503,723,1017,1340,1655,2023,2578,3308,3717,4106,4539,5155,5936,6719
50,20117,79,84,90,106,127,157,218,234,241,264,292,346,413,493,591,693,793
51,20119,336,409,508,821,1374,2221,3266,4660,6621,8332,10285,12331,14731,17598,20989,24331,27374
52,20124,61,87,123,194,310,472,627,790,985,1117,1247,1182,1098,1022,1039,1173,1336
53,20126,65,71,77,87,100,118,148,203,281,319,350,375,401,429,479,553,633
54,20131,39,47,56,76,105,150,238,354,521,606,678,732,786,844,943,1087,1240
55,20132,34,39,44,54,68,89,134,173,217,248,279,307,337,370,420,487,558
56,20136,67,72,77,89,105,133,209,235,250,286,331,416,529,672,837,989,1130
57,20344,66,70,79,99,124,153,187,225,260,275,290,301,311,321,328,334,337
58,20345,116,144,179,223,277,335,398,454,494,483,477,482,483,483,484,489,491
59,20346,65,69,79,103,135,167,204,241,274,290,305,318,329,340,348,354,357
60,20348,284,414,551,719,932,1120,1320,1481,1618,1654,1700,1775,1847,1915,1953,1960,1942
61,20349,82,103,130,164,206,252,299,332,357,357,359,363,357,351,340,328,316
62,20355,105,129,157,192,234,269,304,329,346,343,341,344,349,353,356,361,364
63,20142,759,786,813,835,855,868,880,889,897,906,927,949,971,994,1016,1043,1068
64,20144,1415,1449,1485,1525,1568,1610,1654,1676,1695,1715,1792,1873,1958,2045,2115,2164,2203
65,20145,413,415,417,419,421,429,438,424,408,392,392,392,393,393,397,409,423
66,20146,362,363,364,362,358,364,370,377,385,392,402,413,424,435,447,462,477
67,20148,602,612,622,623,619,625,632,632,631,629,637,645,652,660,671,690,709
68,204024,12,16,21,28,37,49,65,87,116,171,266,386,541,757,995,1201,1407
69,20888,20,46,73,111,163,240,337,412,504,577,642,669,675,682,726,837,979
70,20152,94,112,134,160,191,228,289,374,485,599,721,867,1042,1240,1401,1554,1703
71,20153,319,374,438,512,600,703,809,927,1062,1267,1390,1524,1672,1816,1932,2112,2308
72,20157,42,59,84,118,166,234,324,447,616,833,1054,1332,1684,2107,2455,2736,2989
73,20158,40,44,48,52,57,62,76,96,121,149,184,233,296,372,436,491,542
74,20164,124,146,169,200,238,273,313,357,408,397,376,356,336,318,314,324,339
75,20172,18,30,48,65,88,119,159,187,219,248,280,307,328,347,364,387,410
76,20174,69,89,115,145,183,231,293,364,453,527,606,673,747,825,892,948,997
77,20281,242,306,386,482,602,735,897,993,1095,1198,1309,1383,1461,1539,1609,1691,1769
78,20181,52,66,85,101,120,146,179,210,246,280,310,324,338,352,366,388,411
79,20182,242,303,378,477,601,706,827,987,1179,1424,1724,1869,2023,2182,2315,2436,2540
80,20183,412,567,782,1078,1485,1906,2441,2946,3548,4149,4807,5103,5409,5716,5969,6222,6439
81,20184,23,32,46,62,85,111,144,162,181,208,241,271,294,319,341,364,386
82,20185,5,7,10,13,17,26,42,68,108,143,196,232,277,331,377,407,432
83,20187,36,70,137,268,525,827,1293,1559,1863,2322,2932,3301,3710,4155,4510,4751,4929
84,20189,72,91,115,137,162,189,221,256,297,314,337,350,367,386,406,430,455
85,20190,152,211,293,398,540,773,1109,1374,1693,2000,2332,2552,2793,3047,3254,3422,3560
86,20191,32,45,64,91,129,190,279,369,486,574,654,713,775,841,897,951,1000
87,20192,73,90,112,131,152,165,178,232,305,341,364,390,418,447,474,503,532
88,20195,44,53,64,80,100,117,137,156,177,194,217,246,279,315,347,372,394
89,20199,32,43,60,80,107,145,197,225,257,292,333,374,419,467,509,544,574
90,20204,27,37,51,71,100,162,264,318,380,431,482,516,550,586,619,656,691
91,20205,158,244,379,498,651,922,1310,1553,1829,2138,2494,2789,3118,3474,3759,3961,4116
92,20208,27,40,61,87,125,168,225,274,334,383,431,469,510,553,591,628,662
93,20209,68,81,97,121,150,221,326,406,503,609,734,861,1010,1180,1321,1412,1481
94,20210,264,363,500,659,867,1136,1488,1822,2226,2554,2875,3182,3520,3880,4169,4384,4551
95,20212,27,35,47,63,86,111,143,176,217,254,282,297,313,328,344,366,387
96,20214,53,89,148,236,375,527,737,915,1132,1366,1635,1831,2049,2285,2477,2618,2730
97,20286,120,137,158,203,263,342,445,548,672,843,1064,1179,1304,1437,1547,1638,1714
98,20305,85,121,171,241,339,493,716,871,1052,1188,1314,1416,1524,1636,1732,1825,1908
99,20230,117,147,184,230,289,362,453,544,652,746,842,920,1004,1093,1169,1237,1298
100,20231,64,86,116,154,205,278,378,478,603,748,923,1015,1114,1219,1307,1384,1450
101,20233,58,69,81,98,119,146,180,203,229,255,284,307,332,358,381,406,430
102,20234,85,103,124,164,217,255,298,332,369,407,449,479,510,541,571,605,638
103,20235,39,57,82,115,159,209,273,317,366,415,468,514,565,620,667,709,747
104,20239,51,71,98,140,200,263,345,412,491,554,613,670,732,798,854,907,953
105,20242,10,16,27,37,51,67,88,113,145,194,269,320,380,449,508,548,579
106,20243,123,150,182,225,278,342,420,527,660,798,952,1049,1154,1266,1360,1440,1508
107,20244,90,116,151,206,281,411,604,761,955,1159,1392,1577,1789,2025,2218,2351,2454
108,20247,18,27,42,64,98,124,157,185,217,247,277,311,349,390,426,456,482
109,20249,20,29,40,57,81,110,150,181,218,252,289,315,344,374,401,428,453
110,20251,102,133,173,222,285,366,470,557,658,756,860,954,1056,1167,1259,1335,1399
111,20257,78,97,120,134,150,171,196,224,257,280,301,304,306,308,314,331,351
112,20258,23,29,36,51,73,98,133,169,215,258,299,337,379,426,466,498,527
113,20261,46,60,80,100,124,149,178,215,258,289,317,336,356,377,396,421,445
114,20263,43,57,77,93,112,138,171,192,216,238,266,285,304,324,343,365,387
115,20264,488,656,882,1111,1398,1727,2133,2416,2728,2977,3216,3344,3476,3603,3719,3878,4028
116,20265,10,14,19,28,40,63,100,145,211,248,273,326,390,464,527,568,600
117,20268,661,842,1074,1327,1638,1867,2122,2390,2690,2948,3205,3378,3559,3739,3893,4066,4222
118,20269,63,85,115,148,190,238,299,347,403,452,501,548,598,651,696,740,779
119,20270,9,13,17,24,34,54,86,117,157,194,226,264,308,358,401,432,457
120,20272,3026,3687,4493,5523,6791,7733,8784,9242,9697,10432,11307,11832,12374,12902,13326,13789,14174
121,20275,403,520,671,847,1069,1341,1683,1983,2331,2614,2891,3110,3343,3583,3780,3961,4115
122,20284,37,49,66,84,108,136,171,212,262,300,337,359,383,407,430,457,483
123,20285,26,38,55,84,128,184,265,315,372,435,508,529,551,572,593,627,661
124,20287,2334,3044,3970,5494,7620,9614,12089,13395,14776,15913,17014,18288,19660,21066,22119,22899,23444
125,20292,77,96,119,150,191,245,314,371,436,500,571,620,672,727,775,822,865
126,20296,54,75,104,143,195,276,390,490,614,705,788,842,900,959,1011,1068,1122
127,20299,42,55,71,88,108,138,179,189,198,218,244,265,289,314,336,358,380
128,20300,35,49,70,88,109,157,227,279,342,410,487,534,585,639,686,730,769
129,20222,13,22,38,65,110,171,265,309,356,392,427,450,473,497,520,551,582
130,20308,53,83,129,159,194,242,301,329,359,381,403,418,433,447,463,490,517
131,20323,137,156,183,219,255,296,319,340,341,341,341,341,340,338,334,330,324
132,20327,522,616,708,806,888,977,1074,1181,1191,1168,1128,1169,1200,1226,1241,1242,1230
133,20330,90,112,141,177,210,249,275,300,306,310,314,314,328,342,352,358,359
134,23191,36,45,54,69,88,113,157,222,259,298,365,459,577,721,890,1117,1381
135,23192,33,46,59,82,115,167,265,424,537,667,921,1328,1914,2741,3695,4732,5854
136,20340,19,29,46,71,94,127,167,198,234,278,330,412,556,751,1009,1335,1735
137,20357,364,376,389,436,900,100,238,427,615,836,1149,1317,1510,1731,1979,2262,2584
138,20360,10,15,24,36,55,61,78,103,129,157,193,236,289,350,410,482,564
139,20361,9,12,15,19,24,44,66,97,129,164,208,265,337,424,509,602,703
140,20362,95,117,153,205,298,433,571,740,940,1184,1490,1876,2361,2943,3503,4114,4774
