index,countryCode,countryName,cityCode,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST
567,344, China Hong Kong SAR,21137,Hong Kong,22.279588,114.188697,,,
1,4,Afghanistan,20001,Herat,34.34817,62.19967,,,
2,4,Afghanistan,20002,Kabul,34.528887,69.17246,,,
3,4,Afghanistan,20003,Kandahar,31.61332,65.71013,,,
4,8,Albania,20005,Tiranë (Tirana),41.3275,19.81889,,,
5,12,Algeria,20009,Annaba,36.9,7.76667,,,
6,12,Algeria,20011,Batna,35.55597,6.17414,,,
7,12,Algeria,20015,Blida,36.480781,2.831943,,,
8,12,Algeria,20006,El Djazaïr  (Algiers),36.7525,3.04197,,,
9,12,Algeria,20020,El Djelfa,34.67279,3.263,,,
10,12,Algeria,20019,Qacentina,36.354921,6.607293,,,
11,12,Algeria,20035,Wahran (Oran),35.69111,-0.64167,,,
12,24,Angola,20050,Huambo,-12.77611,15.73917,,,
13,24,Angola,20049,Luanda,-8.83682,13.23432,,,
14,24,Angola,204044,Lubango,-14.91717,13.4925,,,
15,32,Argentina,20057,Bahia Blanca,-38.7196,-62.27243,,,
16,32,Argentina,20058,Buenos Aires,-34.605083,-58.400368,,,
17,32,Argentina,20059,Córdoba,-31.4135,-64.18105,,,
18,32,Argentina,20063,Corrientes,-27.4806,-58.8341,,,
19,32,Argentina,20065,La Plata,-34.92145,-57.95453,,,
20,32,Argentina,20067,Mar Del Plata,-38.00228,-57.55754,,,
21,32,Argentina,20068,Mendoza,-32.89084,-68.82717,,,
22,32,Argentina,20070,Neuquén-Plottier-Cipolletti,-38.95143,-68.064809,,,
23,32,Argentina,20072,Posadas,-27.36708,-55.89608,,,
24,32,Argentina,20073,Resistencia,-27.46056,-58.98389,,,
25,32,Argentina,20075,Rosario,-32.94682,-60.63932,,,
26,32,Argentina,20076,Salta,-24.7859,-65.41166,,,
27,32,Argentina,20078,San Juan,-31.5375,-68.53639,,,
28,32,Argentina,20081,San Miguel de Tucumán,-26.82414,-65.2226,,,
29,32,Argentina,20084,San Salvador de Jujuy,-24.19456,-65.29712,,,
30,32,Argentina,20085,Santa Fe,-31.632717,-60.698281,,,
31,32,Argentina,20086,Santiago Del Estero,-27.79511,-64.26149,,,
32,51,Armenia,20140,Yerevan,40.181998,44.514619,,,
33,36,Australia,206171,Adelaide,-34.92866,138.59863,,,
34,36,Australia,206170,Brisbane,-27.46794,153.02809,,,
35,36,Australia,206175,Canberra,-35.28346,149.12807,,,
36,36,Australia,20093,Gold Coast,-28.00029,153.43088,,,
37,36,Australia,206168,Melbourne,-37.814,144.96332,,,
38,36,Australia,206177,Newcastle and Lake Macquarie,-32.924878,151.740852,,,
39,36,Australia,206172,Perth,-31.947841,115.852514,,,
40,36,Australia,20098,Sunshine Coast,-26.66008,153.09953,,,
41,36,Australia,206167,Sydney,-33.86785,151.20732,,,
42,40,Austria,20107,Wien (Vienna),48.206443,16.370725,,,
43,31,Azerbaijan,20053,Baku,40.37767,49.89201,,,
44,31,Azerbaijan,20054,Gäncä,40.68278,46.36056,,,
45,31,Azerbaijan,20056,Sumquayit,40.58972,49.66861,,,
46,48,Bahrain,20109,Al-Manamah (Manama),26.21536,50.5832,,,
47,50,Bangladesh,20110,Barisal,22.70194,90.37111,,,
48,50,Bangladesh,20112,Bogra,24.85,89.36667,,,
49,50,Bangladesh,20115,Chittagong,22.33306,91.83639,,,
50,50,Bangladesh,20117,Comilla,23.45778,91.20444,,,
51,50,Bangladesh,20119,Dhaka,23.7104,90.40744,,,
52,50,Bangladesh,20124,Khulna,22.80978,89.56439,,,
53,50,Bangladesh,20126,Mymensingh,24.75,90.4,,,
54,50,Bangladesh,20131,Rajshahi,24.36667,88.6,,,
55,50,Bangladesh,20132,Rangpur,25.75,89.25,,,
56,50,Bangladesh,20136,Sylhet,24.89667,91.87167,,,
263,156,China,20518,Guilin,25.28194,110.28639,,,
264,156,China,23634,Guiping,23.39336,110.07437,,,
265,156,China,20519,Guiyang,26.58333,106.71667,,,
266,156,China,23637,Haerbin,45.756325,126.646688,,,
267,156,China,23638,Haicheng,40.855239,122.743396,,,
268,156,China,23639,Haikou,20.027423,110.330071,,,
269,156,China,23643,Haimen,31.895193,121.168399,,,
270,156,China,23644,Haining,30.527288,120.68968,,,
271,156,China,20521,Hami,42.825945,93.516917,,,
272,156,China,23646,Hanchuan,30.651646,113.832908,,,
273,156,China,20523,Handan,36.60056,114.46778,,,
274,156,China,20524,Hangzhou,30.29365,120.16142,,,
275,156,China,20525,Hanzhong,33.07278,107.03028,,,
276,156,China,20527,Hebi,35.747018,114.295632,,,
277,156,China,20529,Hefei,31.86389,117.28083,,,
278,156,China,20530,Hegang,47.344338,130.293701,,,
279,156,China,23648,Hejian,38.442546,116.094913,,,
280,156,China,20532,Hengshui,37.741068,115.678068,,,
557,156,China,23770,Zhuanghe,39.705122,122.968765,,,
558,156,China,23769,Zhucheng,35.99472,119.3975,,,
559,156,China,20797,Zhuhai,22.2769,113.5678,,,
560,156,China,23768,Zhuji,29.713158,120.236819,,,
561,156,China,20798,Zhumadian,32.97944,114.02944,,,
562,156,China,20800,Zhuzhou,27.83333,113.15,,,
563,156,China,20801,Zibo,36.79056,118.06333,,,
564,156,China,20802,Zigong,29.34162,104.77689,,,
565,156,China,23767,Ziyang,30.12563,104.630483,,,
566,156,China,20804,Zunyi,27.711309,106.936512,,,
568,446,China  Macao SAR,21791,Macao,22.20056,113.54611,,,
569,170,Colombia,20806,Armenia,4.53389,-75.68111,,,
570,170,Colombia,20808,Barranquilla,10.96389,-74.79639,,,
571,170,Colombia,20837,Bogotá,4.60971,-74.08175,,,
572,170,Colombia,20809,Bucaramanga,7.12539,-73.1198,,,
573,170,Colombia,20810,Buenaventura,3.885028,-77.07001,,,
574,170,Colombia,20812,Cali,3.43722,-76.5225,,,
575,170,Colombia,20813,Cartagena,10.39972,-75.51444,,,
576,170,Colombia,20816,Cúcuta,7.89391,-72.50782,,,
577,170,Colombia,20821,Ibagué,4.43889,-75.23222,,,
578,170,Colombia,20825,Manizales,5.06889,-75.51738,,,
579,170,Colombia,20827,Medellín,6.25184,-75.56359,,,
580,170,Colombia,20828,Monteria,8.74798,-75.88143,,,
581,170,Colombia,20829,Neiva,2.9273,-75.28188,,,
582,170,Colombia,20832,Pasto,1.21361,-77.28111,,,
583,170,Colombia,20833,Pereira,4.81333,-75.69611,,,
584,170,Colombia,20838,Santa Marta,11.24079,-74.19904,,,
585,170,Colombia,20844,Valledupar,10.46314,-73.25322,,,
586,170,Colombia,20845,Villavicencio,4.142,-73.62664,,,
587,178,Congo,20848,Brazzaville,-4.26583,15.28318,,,
588,178,Congo,20849,Pointe-Noire,-4.77609,11.86352,,,
589,188,Costa Rica,20861,San José,9.927817,-84.080685,,,
590,384,Côte d'Ivoire,21602,Abidjan,5.345339,-4.026789,,,
591,384,Côte d'Ivoire,21603,Bouake,7.69385,-5.03031,,,
592,384,Côte d'Ivoire,23547,San Pedro,4.7333333,-6.6166667,,,
593,191,Croatia,20865,Zagreb,45.81444,15.97798,,,
594,192,Cuba,20867,Camaguey,21.38083,-77.91694,,,
595,192,Cuba,20871,Holguin,20.88722,-76.26306,,,
596,192,Cuba,20870,La Habana (Havana),23.119541,-82.378493,,,
597,192,Cuba,20876,Santiago de Cuba,20.02472,-75.82194,,,
598,203,Czech Republic,20881,Brno,49.19522,16.60796,,,
599,203,Czech Republic,20887,Praha (Prague),50.08804,14.42076,,,
600,408,Dem. People's Republic of Korea,21713,Chongjin,41.79556,129.77583,,,
601,408,Dem. People's Republic of Korea,21715,Hamhung,39.91833,127.53639,,,
602,408,Dem. People's Republic of Korea,21722,P'yongyang,39.03385,125.75432,,,
603,408,Dem. People's Republic of Korea,21724,Sinuiju,40.10056,124.39806,,,
604,408,Dem. People's Republic of Korea,21725,Wonsan,39.15278,127.44361,,,
605,180,Democratic Republic of the Congo,20850,Bukavu,-2.50833,28.86083,,,
606,180,Democratic Republic of the Congo,205455,Bunia,1.566666667,30.25,,,
607,180,Democratic Republic of the Congo,205453,Goma,-1.679166667,29.22277778,,,
608,180,Democratic Republic of the Congo,20851,Kananga,-5.89624,22.41659,,,
609,180,Democratic Republic of the Congo,20852,Kikwit,-5.04098,18.81619,,,
610,180,Democratic Republic of the Congo,20853,Kinshasa,-4.32758,15.31357,,,
611,180,Democratic Republic of the Congo,20854,Kisangani,0.51667,25.2,,,
612,180,Democratic Republic of the Congo,23555,Kolwezi,-10.71484,25.46674,,,
613,180,Democratic Republic of the Congo,20855,Likasi,-10.98139,26.73333,,,
614,180,Democratic Republic of the Congo,20856,Lubumbashi,-11.66089,27.47938,,,
615,180,Democratic Republic of the Congo,20857,Matadi,-5.8177,13.4717,,,
616,180,Democratic Republic of the Congo,20858,Mbandaka,0.04865,18.26034,,,
617,180,Democratic Republic of the Congo,20859,Mbuji-Mayi,-6.15,23.6,,,
618,180,Democratic Republic of the Congo,204243,Tshikapa,-6.41621,20.79995,,,
619,180,Democratic Republic of the Congo,205454,Uvira,-3.39534,29.13779,,,
620,208,Denmark,20894,København (Copenhagen),55.67594,12.56553,,,
621,262,Djibouti,21005,Djibouti,11.58767,43.14468,,,
622,214,Dominican Republic,20897,Santiago,19.460205,-70.699686,,,
623,214,Dominican Republic,20898,Santo Domingo,18.489591,-69.901805,,,
624,218,Ecuador,20900,Cuenca,-2.88333,-78.98333,,,
625,218,Ecuador,20903,Guayaquil,-2.16667,-79.9,,,
626,218,Ecuador,20910,Quito,-0.22985,-78.52495,,,
627,218,Ecuador,20912,Santo Domingo,-0.253431,-79.169555,,,
628,818,Egypt,22814,Al-Fayyum,29.30995,30.8418,,,
629,818,Egypt,22804,Al-Iskandariyah (Alexandria),31.192471,29.904596,,,
630,818,Egypt,22815,Al-Ismailiyah,30.60427,32.27225,,,
631,818,Egypt,22806,Al-Mahallah al-Kubra,30.9745,31.16499,,,
