index,countryCode,countryName,cityCode,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST
144,124,Canada,20370,Calgary,51.044072,-114.059314,,,
145,124,Canada,20373,Edmonton,53.543409,-113.503721,,,
146,124,Canada,20376,Halifax,44.647712,-63.581778,,,
147,124,Canada,20377,Hamilton,43.249459,-79.847539,,,
148,124,Canada,20381,Kitchener,43.42537,-80.5112,,,
149,124,Canada,20382,London,42.98339,-81.23304,,,
150,124,Canada,20384,Montréal,45.50884,-73.58781,,,
151,124,Canada,20386,Oshawa,43.90012,-78.84957,,,
152,124,Canada,20387,Ottawa-Gatineau,45.416598,-75.697997,,,
153,124,Canada,20390,Québec,46.81228,-71.21454,,,
154,124,Canada,20398,St. Catharines-Niagara,43.16681,-79.24958,,,
155,124,Canada,20402,Toronto,43.70011,-79.4163,,,
156,124,Canada,20404,Vancouver,49.24966,-123.11934,,,
157,124,Canada,20405,Victoria,48.4329,-123.3693,,,
158,124,Canada,20406,Windsor,42.281051,-83.007948,,,
159,124,Canada,20407,Winnipeg,49.895451,-97.129437,,,
1513,840,United States of America,22905,Akron,41.08144,-81.51901,,,
1514,840,United States of America,22907,Albany,42.66,-73.78,,,
1515,840,United States of America,22908,Albuquerque,35.110703,-106.609991,,,
1516,840,United States of America,22910,Allentown-Bethlehem,40.60908,-75.475962,,,
1517,840,United States of America,22917,Ann Arbor,42.27756,-83.74088,,,
1518,840,United States of America,22919,Antioch,38,-121.81,,,
1519,840,United States of America,22921,Asheville,35.579862,-82.55581,,,
1520,840,United States of America,22922,Atlanta,33.76,-84.4,,,
1521,840,United States of America,22924,Augusta-Richmond County,33.467086,-81.990199,,,
1522,840,United States of America,22926,Austin,30.27,-97.74,,,
1523,840,United States of America,22927,Bakersfield,35.357276,-119.031661,,,
1524,840,United States of America,22928,Baltimore,39.29038,-76.61219,,,
1525,840,United States of America,22929,Baton Rouge,30.45075,-91.15455,,,
1526,840,United States of America,22936,Birmingham,33.515744,-86.801056,,,
1527,840,United States of America,22938,Boise City,43.619505,-116.212301,,,
1528,840,United States of America,23075,Bonita Springs-Naples,26.33981,-81.7787,,,
1529,840,United States of America,22939,Boston,42.347919,-71.06453,,,
1530,840,United States of America,22942,Bridgeport-Stamford,41.16704,-73.20483,,,
1531,840,United States of America,22947,Buffalo,42.887934,-78.871593,,,
1532,840,United States of America,22993,Cape Coral,26.6396,-81.982471,,,
1533,840,United States of America,22952,Charleston-North Charleston,32.789295,-79.986255,,,
1534,840,United States of America,22954,Charlotte,35.22709,-80.84313,,,
1535,840,United States of America,22955,Chattanooga,35.045473,-85.267255,,,
1536,840,United States of America,22956,Chicago,41.85003,-87.65005,,,
1537,840,United States of America,22957,Cincinnati,39.104722,-84.518783,,,
1538,840,United States of America,22959,Cleveland,41.498587,-81.687402,,,
1539,840,United States of America,22960,Colorado Springs,38.863443,-104.791914,,,
1540,840,United States of America,22962,Columbia South Carolina,33.999477,-81.036538,,,
1541,840,United States of America,22963,Columbus Ohio,39.962205,-83.000186,,,
1542,840,United States of America,23426,Concord,37.97798,-122.03107,,,
1543,840,United States of America,22965,Corpus Christi,27.742857,-97.401927,,,
1544,840,United States of America,22966,Dallas-Fort Worth,32.72541,-97.32085,,,
1545,840,United States of America,22969,Dayton,39.758406,-84.192906,,,
1546,840,United States of America,22970,Daytona Beach-Port Orange,29.1383165,-80.9956105,,,
1547,840,United States of America,23046,Denton-Lewisville,33.04669,-96.994063,,,
1548,840,United States of America,22972,Denver-Aurora,39.734283,-104.983138,,,
1549,840,United States of America,22973,Des Moines,41.60054,-93.60911,,,
1550,840,United States of America,22974,Detroit,42.387137,-83.102641,,,
1551,840,United States of America,22976,Durham,35.988644,-78.907167,,,
1552,840,United States of America,22980,El Paso,31.7775757,-106.4424559,,,
1553,840,United States of America,22987,Fayetteville,35.066663,-78.917579,,,
1554,840,United States of America,22988,Fayetteville-Springdale,36.186711,-94.129539,,,
1555,840,United States of America,22990,Flint,43.027577,-83.693996,,,
1556,840,United States of America,22997,Fort Wayne,41.078348,-85.126546,,,
1557,840,United States of America,22998,Fresno,36.754529,-119.771119,,,
1558,840,United States of America,23002,Grand Rapids,42.956393,-85.664883,,,
1559,840,United States of America,23004,Greensboro,36.073233,-79.791751,,,
1560,840,United States of America,23005,Greenville,34.849805,-82.397334,,,
1561,840,United States of America,23008,Harrisburg,40.271709,-76.884956,,,
1562,840,United States of America,23009,Hartford,41.7637111,-72.6850932,,,
1563,840,United States of America,23013,Honolulu,21.30895,-157.826182,,,
1564,840,United States of America,23014,Houston,29.7601927,-95.3693896,,,
1565,840,United States of America,23016,Huntsville,34.729703,-86.589848,,,
1566,840,United States of America,23017,Indianapolis,39.790942,-86.147685,,,
