index,countryCode,countryName,cityCode,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST
567,344, China Hong Kong SAR,21137,Hong Kong,22.279588,114.188697,,,
33,36,Australia,206171,Adelaide,-34.92866,138.59863,,,
34,36,Australia,206170,Brisbane,-27.46794,153.02809,,,
35,36,Australia,206175,Canberra,-35.28346,149.12807,,,
36,36,Australia,20093,Gold Coast,-28.00029,153.43088,,,
37,36,Australia,206168,Melbourne,-37.814,144.96332,,,
38,36,Australia,206177,Newcastle and Lake Macquarie,-32.924878,151.740852,,,
39,36,Australia,206172,Perth,-31.947841,115.852514,,,
40,36,Australia,20098,Sunshine Coast,-26.66008,153.09953,,,
41,36,Australia,206167,Sydney,-33.86785,151.20732,,,
42,40,Austria,20107,Wien (Vienna),48.206443,16.370725,,,
