index,countryCode,countryName,cityCode,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST
567,344, China Hong Kong SAR,21137,Hong Kong,22.279588,114.188697,,,
169,156,China,20447,Akesu,41.169547,80.262646,,,
170,156,China,23575,Ankang,32.691183,109.029694,,,
171,156,China,20450,Anqing,30.542972,117.0533,,,
172,156,China,23578,Anqiu,36.43417,119.1925,,,
173,156,China,20451,Anshan,41.12361,122.99,,,
174,156,China,20452,Anshun,26.24441,105.932401,,,
175,156,China,20453,Anyang,36.094436,114.35034,,,
176,156,China,20455,Baicheng,45.618331,122.841797,,,
177,156,China,23866,Baishan,41.937333,126.422863,,,
178,156,China,20457,Baiyin,36.548652,104.183117,,,
179,156,China,20458,Baoding,38.85111,115.49028,,,
180,156,China,20459,Baoji,34.365118,107.200449,,,
181,156,China,20460,Baotou,40.65222,109.82222,,,
182,156,China,205686,Bayannaoer,40.750478,107.40523,,,
183,156,China,23580,Bazhong,31.866216,106.732539,,,
184,156,China,20463,Beihai,21.478511,109.119973,,,
185,156,China,20464,Beijing,39.9075,116.39723,,,
186,156,China,20466,Bengbu,32.94083,117.36083,,,
187,156,China,20467,Benxi,41.28861,123.765,,,
188,156,China,23582,Bijie,27.306953,105.28368,,,
189,156,China,23583,Binzhou,37.381079,118.010852,,,
190,156,China,20469,Botou,38.06667,116.56667,,,
191,156,China,23584,Bozhou,33.870279,115.776985,,,
192,156,China,20470,Cangzhou,38.31667,116.86667,,,
193,156,China,23585,Cenxi,22.919083,110.994456,,,
194,156,China,20471,Changchun,43.882494,125.293964,,,
195,156,China,20472,Changde,29.04638,111.6783,,,
196,156,China,23586,Changge,34.222382,113.773631,,,
197,156,China,20473,Changji,44.011737,87.303752,,,
198,156,China,23588,Changning,26.407769,112.395699,,,
199,156,China,20474,Changsha,28.227394,112.938269,,,
200,156,China,23865,Changshu,31.653905,120.746654,,,
201,156,China,23589,Changyi,36.854566,119.391267,,,
202,156,China,20475,Changzhi,36.192128,113.115533,,,
203,156,China,20476,Changzhou Jiangsu,31.794314,119.958917,,,
204,156,China,23590,Chaohu,31.6,117.86667,,,
205,156,China,20477,Chaoyang,41.577292,120.451132,,,
206,156,China,20478,Chaozhou,23.66513,116.63786,,,
207,156,China,20479,Chengde,40.967162,117.932222,,,
208,156,China,20480,Chengdu,30.66667,104.06667,,,
209,156,China,20481,Chenzhou,25.8,113.03333,,,
210,156,China,20483,Chifeng,42.264602,118.915236,,,
211,156,China,23868,Chizhou,30.65778,117.48306,,,
212,156,China,20484,Chongqing,29.56278,106.55278,,,
213,156,China,20485,Chuxiong,25.044539,101.541009,,,
214,156,China,20486,Chuzhou,32.29853,118.316399,,,
215,156,China,23595,Cixi,30.176116,121.252392,,,
216,156,China,23869,Dafeng,33.196372,120.456129,,,
217,156,China,20488,Dali,25.590024,100.223521,,,
218,156,China,20489,Dalian,38.913811,121.602322,,,
219,156,China,20490,Dandong,40.119831,124.373852,,,
220,156,China,23864,Danyang,32.000797,119.574455,,,
221,156,China,20493,Daqing,46.58333,125,,,
222,156,China,23871,Dashiqiao,40.63732,122.50251,,,
223,156,China,20494,Datong,40.080522,113.293045,,,
224,156,China,23597,Daye,30.098674,114.970308,,,
225,156,China,205677,Dazhou,31.21592,107.50092,,,
226,156,China,23600,Dengfeng,34.45528,113.02806,,,
227,156,China,23601,Dengzhou,32.68222,112.08194,,,
228,156,China,23603,Deyang,31.13019,104.38198,,,
229,156,China,20497,Dezhou,37.451765,116.300973,,,
230,156,China,23606,Donggang,39.883429,124.146248,,,
231,156,China,20499,Dongguan,23.02116,113.741411,,,
232,156,China,23607,Dongtai,32.85231,120.30947,,,
233,156,China,23609,Dongyang,29.275294,120.230273,,,
234,156,China,23610,Dongying,37.453273,118.578519,,,
235,156,China,23611,Dujiangyan,30.996625,103.628081,,,
236,156,China,23612,Enshi,30.290188,109.47854,,,
237,156,China,205656,Erduosi (Ordoss),39.591741,109.766573,,,
238,156,China,23613,Ezhou,30.400061,114.884582,,,
239,156,China,23880,Fangchenggang,21.765917,108.35395,,,
240,156,China,23614,Feicheng,36.185412,116.767394,,,
241,156,China,23615,Fengcheng,28.178737,115.775836,,,
242,156,China,20506,Foshan,23.022778,113.119953,,,
243,156,China,23617,Fuan,27.088055,119.645351,,,
244,156,China,23619,Fuqing,25.725,119.37944,,,
245,156,China,20509,Fushun Liaoning,41.880737,123.946698,,,
246,156,China,20510,Fuxin,42.01556,121.65889,,,
247,156,China,20511,Fuyang,32.889497,115.815213,,,
248,156,China,23620,Fuyang,30.058484,119.943957,,,
249,156,China,20513,Fuzhou Fujian,26.075352,119.298946,,,
250,156,China,20514,Fuzhou Jiangxi,27.98119,116.355676,,,
251,156,China,20515,Ganzhou,25.85,114.93333,,,
252,156,China,23621,Gaoan,28.427086,115.3722,,,
253,156,China,23622,Gaocheng,38.023261,114.840049,,,
254,156,China,23623,Gaomi,36.38333,119.75278,,,
255,156,China,23627,Gaoyou,32.779085,119.447041,,,
256,156,China,23862,Gaozhou,21.915852,110.849874,,,
257,156,China,23628,Gongyi,34.76,112.97139,,,
258,156,China,23629,Gongzhuling,43.50075,124.81979,,,
259,156,China,23630,Guang'an,30.463918,106.63512,,,
260,156,China,23632,Guangyuan,32.44202,105.823,,,
