yearBegin,yearEnd,idOri,nameOri,idDes,nameDes,transportMode,length,notes
2010,2014,206167,Sydney,21957,Auckland,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22046,Lahore,1,,air
2010,2014,22046,Lahore,22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,23370,Nha Trang,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),1,,air
2010,2014,22457,Hà Noi,21758,Seoul,1,,air
2010,2014,22457,Hà Noi,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),1,,air
2010,2014,21758,Seoul,22457,Hà Noi,1,,air
2010,2014,21758,Seoul,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),1,,air
2010,2014,21671,Tokyo,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),1,,air
2010,2014,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),23370,Nha Trang,1,,air
2010,2014,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),22457,Hà Noi,1,,air
2010,2014,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),21758,Seoul,1,,air
2010,2014,22458,Thành Pho Ho Chí Minh (Ho Chi Minh City),21671,Tokyo,1,,air
2010,2014,22922,Atlanta,22860,London,1,,air
2010,2014,23083,New York-Newark,22860,London,1,,air
2010,2014,23052,Los Angeles-Long Beach-Santa Ana,22860,London,1,,air
2010,2014,22860,London,22922,Atlanta,1,,air
2010,2014,22860,London,23083,New York-Newark,1,,air
2010,2014,22860,London,23052,Los Angeles-Long Beach-Santa Ana,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22432,Ar-Riyadh (Riyadh),1,,air
2010,2014,22432,Ar-Riyadh (Riyadh),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,20517,Guangzhou Guangdong,20656,Shanghai,1,,air
2010,2014,20656,Shanghai,20517,Guangzhou Guangdong,1,,air
2010,2014,20517,Guangzhou Guangdong,20480,Chengdu,1,,air
2010,2014,20480,Chengdu,20517,Guangzhou Guangdong,1,,air
2010,2014,20480,Chengdu,20464,Beijing,1,,air
2010,2014,20464,Beijing,20480,Chengdu,1,,air
2010,2014,22103,Lapu-Lapu City,22109,Manila,1,,air
2010,2014,22109,Manila,22103,Lapu-Lapu City,1,,air
2010,2014,21780,Banghazi,21782,Tarabulus (Tripoli),1,,air
2010,2014,21891,Dar-el-Beida (Casablanca),21782,Tarabulus (Tripoli),1,,air
2010,2014,21782,Tarabulus (Tripoli),21780,Banghazi,1,,air
2010,2014,21782,Tarabulus (Tripoli),21891,Dar-el-Beida (Casablanca),1,,air
2010,2014,20373,Edmonton,20370,Calgary,1,,air
2010,2014,20370,Calgary,20373,Edmonton,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22046,Lahore,1,,air
2010,2014,22046,Lahore,22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22549,Madrid,23064,Miami,1,,air
2010,2014,23064,Miami,22549,Madrid,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),20109,Al-Manamah (Manama),1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),204371,München (Munich),1,,air
2010,2014,20109,Al-Manamah (Manama),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,204332,Frankfurt am Main,22556,Palma,1,,air
2010,2014,204371,München (Munich),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22556,Palma,204332,Frankfurt am Main,1,,air
2010,2014,22860,London,20402,Toronto,1,,air
2010,2014,20384,Montréal,20404,Vancouver,1,,air
2010,2014,20384,Montréal,20402,Toronto,1,,air
2010,2014,20404,Vancouver,20384,Montréal,1,,air
2010,2014,20404,Vancouver,20402,Toronto,1,,air
2010,2014,20402,Toronto,22860,London,1,,air
2010,2014,20402,Toronto,20384,Montréal,1,,air
2010,2014,20402,Toronto,20404,Vancouver,1,,air
2010,2014,20631,Ningbo,20684,Taipei,1,,air
2010,2014,20625,Nanjing Jiangsu,20684,Taipei,1,,air
2010,2014,20684,Taipei,20631,Ningbo,1,,air
2010,2014,20684,Taipei,20625,Nanjing Jiangsu,1,,air
2010,2014,22922,Atlanta,20985,Paris,1,,air
2010,2014,22922,Atlanta,22860,London,1,,air
2010,2014,20985,Paris,22922,Atlanta,1,,air
2010,2014,20985,Paris,23083,New York-Newark,1,,air
2010,2014,20985,Paris,21671,Tokyo,1,,air
2010,2014,20985,Paris,20656,Shanghai,1,,air
2010,2014,22513,Harare,23277,Lusaka,1,,air
2010,2014,23083,New York-Newark,20985,Paris,1,,air
2010,2014,22860,London,22922,Atlanta,1,,air
2010,2014,21671,Tokyo,20985,Paris,1,,air
2010,2014,20656,Shanghai,20985,Paris,1,,air
2010,2014,21152,Ahmadabad,21206,Mumbai (Bombay),1,,air
2010,2014,21164,Amritsar,21228,Delhi,1,,air
2010,2014,21206,Mumbai (Bombay),21152,Ahmadabad,1,,air
2010,2014,21206,Mumbai (Bombay),21228,Delhi,1,,air
2010,2014,21228,Delhi,21164,Amritsar,1,,air
2010,2014,21228,Delhi,21206,Mumbai (Bombay),1,,air
2010,2014,21228,Delhi,21321,Chennai (Madras),1,,air
2010,2014,21321,Chennai (Madras),21206,Mumbai (Bombay),1,,air
2010,2014,21321,Chennai (Madras),21228,Delhi,1,,air
2010,2014,20058,Buenos Aires,21853,Ciudad de México (Mexico City),1,,air
2010,2014,22549,Madrid,21853,Ciudad de México (Mexico City),1,,air
2010,2014,21853,Ciudad de México (Mexico City),20058,Buenos Aires,1,,air
2010,2014,21853,Ciudad de México (Mexico City),22549,Madrid,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),21891,Dar-el-Beida (Casablanca),1,,air
2010,2014,21891,Dar-el-Beida (Casablanca),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,20837,Bogotá,20812,Cali,1,,air
2010,2014,20812,Cali,20837,Bogotá,1,,air
2010,2014,20144,Bruxelles-Brussel,20937,Helsinki,1,,air
2010,2014,20937,Helsinki,20144,Bruxelles-Brussel,1,,air
2010,2014,23083,New York-Newark,22860,London,1,,air
2010,2014,22860,London,23083,New York-Newark,1,,air
2010,2014,22860,London,22956,Chicago,1,,air
2010,2014,22549,Madrid,23064,Miami,1,,air
2010,2014,23064,Miami,22549,Madrid,1,,air
2010,2014,22956,Chicago,22860,London,1,,air
2010,2014,22922,Atlanta,20985,Paris,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),22046,Lahore,1,,air
2010,2014,20985,Paris,22922,Atlanta,1,,air
2010,2014,20985,Paris,23083,New York-Newark,1,,air
2010,2014,23083,New York-Newark,20985,Paris,1,,air
2010,2014,22046,Lahore,22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,22299,Moskva (Moscow),22860,London,1,,air
2010,2014,22860,London,22299,Moskva (Moscow),1,,air
2010,2014,22549,Madrid,23064,Miami,1,,air
2010,2014,23064,Miami,22549,Madrid,1,,air
2010,2014,22956,Chicago,22922,Atlanta,1,,air
2010,2014,20115,Chittagong,20119,Dhaka,1,,air
2010,2014,20524,Hangzhou,20684,Taipei,1,,air
2010,2014,21137,Hong Kong,20684,Taipei,1,,air
2010,2014,21791,Macao,20684,Taipei,1,,air
2010,2014,22109,Manila,20684,Taipei,1,,air
2010,2014,20684,Taipei,20524,Hangzhou,1,,air
2010,2014,20684,Taipei,21137,Hong Kong,1,,air
2010,2014,20684,Taipei,21791,Macao,1,,air
2010,2014,20684,Taipei,22109,Manila,1,,air
2010,2014,22632,Abu Zaby (Abu Dhabi),204371,München (Munich),1,,air
2010,2014,204371,München (Munich),22632,Abu Zaby (Abu Dhabi),1,,air
2010,2014,20517,Guangzhou Guangdong,20656,Shanghai,1,,air
2010,2014,20480,Chengdu,20656,Shanghai,1,,air
2010,2014,20524,Hangzhou,21137,Hong Kong,1,,air
2010,2014,20524,Hangzhou,20684,Taipei,1,,air
2010,2014,21137,Hong Kong,20524,Hangzhou,1,,air
2010,2014,21137,Hong Kong,20464,Beijing,1,,air
2010,2014,20464,Beijing,21137,Hong Kong,1,,air
2010,2014,20464,Beijing,20684,Taipei,1,,air
2010,2014,20656,Shanghai,20517,Guangzhou Guangdong,1,,air
2010,2014,20656,Shanghai,20480,Chengdu,1,,air
2010,2014,20656,Shanghai,20684,Taipei,1,,air
2010,2014,20684,Taipei,20524,Hangzhou,1,,air
2010,2014,20684,Taipei,20464,Beijing,1,,air
2010,2014,20684,Taipei,20656,Shanghai,1,,air
2010,2014,204118,Samut Prakan,20684,Taipei,1,,air
2010,2014,206459,Kinki M.M.A. (Osaka),20684,Taipei,1,,air
2010,2014,20684,Taipei,204118,Samut Prakan,1,,air
2010,2014,20684,Taipei,206459,Kinki M.M.A. (Osaka),1,,air
2010,2014,20517,Guangzhou Guangdong,21137,Hong Kong,1,,air
2010,2014,22103,Lapu-Lapu City,21137,Hong Kong,1,,air
2010,2014,20480,Chengdu,21137,Hong Kong,1,,air
