_date,total_clones,unique_clones
2021-04-19,1,1
2021-04-20,11,3
2021-04-21,5,4
2021-04-22,7,5
2021-04-24,1,1
2021-04-25,7,5
2021-04-26,9,8
2021-04-27,27,19
2021-04-28,5,5
2021-04-29,4,4
2021-04-30,1,1
2021-05-01,20,15
2021-05-02,1,1
2021-05-03,12,10
2021-05-04,16,13
2021-05-05,1,1
2021-05-06,4,4
2021-05-07,4,4
2021-05-08,1,1
2021-05-10,2,2
2021-05-11,1,1
2021-05-14,8,8
2021-05-17,17,15
2021-05-20,7,7
2021-05-21,7,7
2021-05-22,1,1
2021-05-23,6,6
2021-05-24,3,3
2021-05-25,1,1
2021-05-26,1,1
2021-05-31,3,3
2021-06-07,1,1
2021-06-08,1,1
